modelIdentifier;supplierOrTrademark;powerOnModeSDR;category
29BN650;LG Electronics;23.0;MONITOR
ColorEdge CG319X;EIZO;54.6;MONITOR
ColorEdge CS2731;EIZO;35.7;MONITOR
LAN49HVNB;Luxor;69.0;TELEVISION
K242Y;acer;21.0;MONITOR
P24h-20(A19238QP1);Lenovo;20.2;SIGNAGE
B19-7 LED;FUJITSU;11.0;MONITOR
65P616X1;TCL;77.0;TELEVISION
B22-8 TS Pro;FUJITSU;11.6;MONITOR
P27-8 TS UHD;FUJITSU;27.3;MONITOR
TF1215MC-B1;IIYAMA CORPORATION;11.0;MONITOR
Pavilion 32 QHD Display;HP, Inc.;41.0;MONITOR
FlexScan EV3895;EIZO;29.0;MONITOR
43P616X1;TCL;39.0;TELEVISION
PMO C240-VFH;PEAQ;20.0;MONITOR
58PUS8505/12;PHILIPS;88.0;TELEVISION
58PUS8545/12;PHILIPS;88.0;TELEVISION
58PUS8555/12;PHILIPS;88.0;TELEVISION
MD 31438;MEDION;82.0;TELEVISION
LED-32A114T2 SMART;Arielli;32.0;TELEVISION
LED-42A114T2 SMART;Arielli;48.0;TELEVISION
50P615KX1;TCL;51.0;TELEVISION
55P615KX1;TCL;59.0;TELEVISION
75P615KX1;TCL;126.0;TELEVISION
65EP685X1;TCL;93.0;TELEVISION
65EP680X1;TCL;97.0;TELEVISION
25mx HSD-0011-Q;HP, Inc.;22.5;MONITOR
32WA2B63DG;TOSHIBA;32.0;TELEVISION
24WA3B63DG;TOSHIBA;22.0;TELEVISION
27GL650F;LG Electronics;20.5;MONITOR
65PUS8545/12;PHILIPS;114.0;TELEVISION
70PUS8545/12;PHILIPS;137.0;TELEVISION
70PUS8555/12;PHILIPS;137.0;TELEVISION
49WL95C;LG Electronics;55.0;MONITOR
25UM58;LG Electronics;16.5;MONITOR
LT-40CF890;JVC;46.0;TELEVISION
LT-43CF890;JVC;54.0;TELEVISION
32LL3C63DG;TOSHIBA;32.0;TELEVISION
32WD2C63DG;TOSHIBA;32.0;TELEVISION
32WL3C63DG;TOSHIBA;32.0;TELEVISION
43L2163DG;TOSHIBA;42.0;TELEVISION
TL32LED550B21;TUCSON;32.0;TELEVISION
PS6574K;Planar;101.0;SIGNAGE
55 VLO 8589 OLED - Fire TV Edition TEL000;GRUNDIG;110.0;TELEVISION
65 OLED GD960B TDJ000;GRUNDIG;147.0;TELEVISION
55 GDU 7500B SYE000;GRUNDIG;78.0;TELEVISION
43 GUW 7060 - Fire TV Edition SZR000;GRUNDIG;51.0;TELEVISION
