modelIdentifier;supplierOrTrademark;powerOnModeSDR;category
PA279CRV;ASUS;21.6;MONITOR
SLA32W4K;alphatronics GmbH;27.0;TELEVISION
TH21TRS;Avtex;15.0;TELEVISION
GT2702;HUION;26.0;PROFESSIONAL_DISPLAY
Royal Line V 19 Smart (V13.0);Megasat;13.0;TELEVISION
EV01,EV02,EV03,EV04,EV05,EV06;EVICIV;4.1;MONITOR
DIS-7520;Legamaster;122.0;PROFESSIONAL_DISPLAY
AMZG25F6F;Amzfast Official;18.0;TELEVISION
50QH02K;SmartTech;53.0;TELEVISION
50QG06K;SmartTech;53.0;TELEVISION
55QG06K;SmartTech;62.0;TELEVISION
65QG06K;SmartTech;74.0;TELEVISION
43FH01K;SmartTech;46.0;TELEVISION
U340U-Pro;TANXJIA;29.8;MONITOR
OQ75A3K8HG;SYLVOX;129.0;TELEVISION
SK150P-A1;MTDS001;12.0;PROFESSIONAL_DISPLAY
SK-150P-A1;MTDS001;12.0;PROFESSIONAL_DISPLAY
65Q100;DREAME;102.0;TELEVISION
DC-15T;Shenzhen Sengixing Trading Co., Ltd;24.0;TELEVISION
SK-190P-A1;MTDS001;16.0;PROFESSIONAL_DISPLAY
SA32SM10VDA;SABA;26.0;TELEVISION
DHI-LM55-F400N;Dahua;77.0;MONITOR
DHI-LM65-F400N;Dahua;102.0;MONITOR
32 LA7600;NABO;26.0;TELEVISION
43 LA5600;NABO;42.0;TELEVISION
CD161FH;XPPen;7.1;PROFESSIONAL_DISPLAY
S27FG500SU;Samsung;28.0;PROFESSIONAL_DISPLAY
KG270 P0;acer;17.0;MONITOR
43P71KXB;TCL;50.0;TELEVISION
QLED-75UD10GTV;Arielli;107.0;TELEVISION
KG243Y G0;acer;17.0;MONITOR
VG328H1B;ASUS;27.5;MONITOR
VA24EQSB;ASUS;18.0;MONITOR
FW-43BZ30L;SONY;54.0;MONITOR
FW-65BZ30L;SONY;113.0;MONITOR
VA27ACFSN;ASUS;26.0;MONITOR
VA27EHFR;ASUS;20.0;MONITOR
PG39WCDM;ASUS;32.0;PROFESSIONAL_DISPLAY
QG241Y P6;acer;14.0;MONITOR
SA32QM10VDA;SABA;26.0;TELEVISION
Q27B36X;AOC;21.0;MONITOR
Z80;KPKUE;5.5;MONITOR
S400;JHHBHV;12.4;MONITOR
MeetingDisplay 86;Yealink;170.8;OTHER
Q40FS211B;Qilive;42.0;TELEVISION
Q43UA212B;Qilive;64.0;TELEVISION
Q24HS221B  ;Qilive;18.0;TELEVISION
Q55UA221B;Qilive;63.0;TELEVISION
Q85UA231B;Qilive;175.0;TELEVISION
Q24HS231;Qilive;18.0;TELEVISION
KM0255UHD-S5;Kruger&Matz;110.0;TELEVISION
KM0255UHD-V;Kruger&Matz;75.0;TELEVISION
KM0240FHD-S6;Kruger&Matz;36.0;TELEVISION
KM0232-T4;Kruger&Matz;27.0;TELEVISION
KM0224-T4;Kruger&Matz;17.0;TELEVISION
URZ0346;Cabletech;37.0;TELEVISION
KM0224-V;Kruger&Matz;15.0;TELEVISION
Q50US232;Qilive;71.0;TELEVISION
Q50US231;Qilive;53.0;TELEVISION
Q55QA231B;Qilive;63.0;TELEVISION
Q43QA232;Qilive;50.0;TELEVISION
Q40HA241B;Qilive;36.0;TELEVISION
Q24HS251B - 600203017;Qilive;18.0;TELEVISION
MiDESTV55;eSmart;84.0;TELEVISION
KT16K0LOGA;SYLVOX;9.0;TELEVISION
HP241CJB(HSG1494);HANNspree;17.5;MONITOR
XHB652-EUK;Peerless AV;298.0;SIGNAGE
XHB753-EUK;Peerless AV;600.0;SIGNAGE
MD 850301;MEDION AG;53.0;TELEVISION
10011916_ED43EA14UHD-VE;EDENWOOD;51.0;TELEVISION
S27FG530EU;Samsung;21.0;MONITOR
CD 75;Innex;138.0;PROFESSIONAL_DISPLAY
43UA75003LA;LG Electronics;54.0;TELEVISION
43QNED70A6A;LG Electronics;54.0;TELEVISION
43UA75009LA;LG Electronics;54.0;TELEVISION
32S5DQ;Hisense;26.0;TELEVISION
F700;Shenzhen Neewer Technology Co., Ltd;6.3;MONITOR
PMO S225-VFC;PEAQ;15.0;MONITOR
OQ43A2K3GD;SYLVOX;54.0;TELEVISION
Q49B5D;CronusPro;40.8;MONITOR
OT43A2K3GF;SYLVOX;54.0;TELEVISION
BM5 IV;Portkeys;5.7;MONITOR
PN-HW431;SHARP;96.0;SIGNAGE
PN-ME652;SHARP;144.0;SIGNAGE
PN-M652;SHARP;130.0;SIGNAGE
DD-EA272U;SHARP;14.0;MONITOR
PN-ME982;SHARP;169.0;SIGNAGE
PN-M752;SHARP;145.0;SIGNAGE
DD-EA241F;SHARP;11.0;MONITOR
DD-EA241FW;SHARP;11.0;MONITOR
DD-EA242F;SHARP;13.2;MONITOR
DD-E244FL;SHARP;14.0;MONITOR
GF15FTN03.0;AUO Display Plus;10.0;PROFESSIONAL_DISPLAY
TH-43EQ3W;Panasonic;94.0;SIGNAGE
XB2793HSU-W1;IIYAMA CORPORATION;14.1;MONITOR
X2797QSU-B1;IIYAMA CORPORATION;17.1;MONITOR
JN-IPS238G120F-W;JAPANNEXT;18.0;MONITOR
INT-FHD-2150;GuangZhou Yueyouhui Technology Co.,Ltd.;15.0;MONITOR
DVL-2862BK;Lenco;21.6;TELEVISION
DVL-3242WH;Lenco;23.5;TELEVISION
DVP-1063WH;Lenco;8.8;OTHER
DVP-125;Lenco;8.0;OTHER
TFT-1038BK;Lenco;8.5;TELEVISION
DVP-9463BK;Lenco;8.0;TELEVISION
LED-2463BK;Lenco;22.0;TELEVISION
LED-4353BK;Lenco;54.0;TELEVISION
SA272U P1;acer;26.0;MONITOR
PRIME32C21GLQ;TDSYSTEMS;26.0;TELEVISION
PRIME40C21GLQ;TDSYSTEMS;37.0;TELEVISION
PRIME50C21GLQ;TDSYSTEMS;54.0;TELEVISION
SMART50C02UGQ;ANEXA;54.0;TELEVISION
Q32HS251B - 600203013;Qilive;26.0;TELEVISION
Q24V4EA;AOC;21.4;MONITOR
Q32V4;AOC;32.0;MONITOR
HVEVE43W.3IP;ISERN Medical;54.0;TELEVISION
32SR85U;LG Electronics;31.3;MONITOR
25SR50F;LG Electronics;16.7;MONITOR
32QG01V2;SmartTech;26.0;TELEVISION
TS 8 Lite 98;Avtek;302.8;SIGNAGE
PD1900;GAOMON;15.0;PROFESSIONAL_DISPLAY
UX156FHLH;Upperizon;2.6;MONITOR
UT185FHLS;Upperizon;4.4;MONITOR
TS 8.1 Mate G 86;Avtek;240.3;SIGNAGE
FLG50145QL;F&U;53.0;TELEVISION
KEN24S180;KENDO;18.0;MONITOR
KEN27G580;KENDO;21.0;MONITOR
KEN32G680;KENDO;25.0;MONITOR
VLED3226HDQWBS;VOV;26.2;TELEVISION
VLED5026UHDQWBS;VOV;63.8;TELEVISION
VLED7026UHDQWBS;VOV;124.0;TELEVISION
65GUC5210;UD;111.0;TELEVISION
IR32VAA1;IRRADIO;27.0;TELEVISION
58A61S;Hisense;70.0;TELEVISION
58A68S;Hisense;70.0;TELEVISION
58E63ST;Hisense;70.0;TELEVISION
58Q72S;Hisense;70.0;TELEVISION
58E77STUK;Hisense;70.0;TELEVISION
32C6KPD;Alogic;32.0;MONITOR
stellar 65 dr+ 64456x75;LOEWE.;79.0;TELEVISION
50UL3J-E;LG Electronics;86.6;SIGNAGE
49WQ950G;LG Electronics;45.0;MONITOR
LE2486SM;Engel;17.5;TELEVISION
LE4394QLED;Engel;42.0;TELEVISION
86QCG6000S;BLAUPUNKT;170.0;TELEVISION
GB2771HS-W1;IIYAMA CORPORATION;18.6;MONITOR
43QG02V2;Smart Tech;50.0;TELEVISION
G2471HSU-B1;IIYAMA CORPORATION;17.7;MONITOR
S27FG502EU;Samsung;21.0;MONITOR
S32FG502EU;Samsung;26.4;MONITOR
S32FG506EU;Samsung;26.4;MONITOR
K40FSTQC;EKO;35.0;TELEVISION
M1012;WIMAXIT;4.3;MONITOR
M1560CTV2;WIMAXIT;4.3;MONITOR
M1160;WIMAXIT;4.3;MONITOR
M1020;WIMAXIT;4.3;MONITOR
bild i.65 60435*50;LOEWE.;103.0;TELEVISION
bild v.55 dr+ 60411*52;LOEWE.;84.1;TELEVISION
We. SEE 50 60513*70;We. by Loewe;62.0;TELEVISION
We. SEE 55 60514*70;We. by Loewe;76.0;TELEVISION
bild i.48 dr+ 60431*21;LOEWE.;67.0;TELEVISION
We. SEE 55 60514*75;We. by Loewe;76.0;TELEVISION
We. SEE 32 60510*81;We. by Loewe;28.0;TELEVISION
We. SEE 43 60512*71;We. by Loewe;54.0;TELEVISION
OLED48B43LA;LG Electronics;64.8;TELEVISION
MP3429-Y;aiwa;30.6;MONITOR
PG27FF;ASRock;21.0;MONITOR
FANN27;HK Boetech fzco;21.2;MONITOR
75E7S;Hisense;107.0;TELEVISION
75E79S;Hisense;107.0;TELEVISION
75E79STUK;Hisense;107.0;TELEVISION
75Q7S;Hisense;107.0;TELEVISION
75Q71S;Hisense;107.0;TELEVISION
75Q72S;Hisense;107.0;TELEVISION
32A47S;Hisense;27.0;TELEVISION
TCS55QLEDPR006;POLAROID;75.0;TELEVISION
TCS43BHQLEDPR01;POLAROID;49.0;TELEVISION
PDB1960;soundmaster;9.4;TELEVISION
LS7P;Portkeys;6.1;MONITOR
241B8QJEB;PHILIPS;14.0;MONITOR
243V7QJAB;PHILIPS;18.3;MONITOR
75BDL3550Q;PHILIPS;193.0;SIGNAGE
75BDL3151T;PHILIPS;356.6;SIGNAGE
98BDL4150D;PHILIPS;372.0;SIGNAGE
43BDL4510D;PHILIPS;79.0;SIGNAGE
55BDL4510D;PHILIPS;145.0;SIGNAGE
65BDL4510D;PHILIPS;160.0;SIGNAGE
98BDL4510D;PHILIPS;283.0;SIGNAGE
242E1GSJ;PHILIPS;19.0;MONITOR
272E1C;PHILIPS;42.0;MONITOR
273B9;PHILIPS;21.0;MONITOR
328P6A;PHILIPS;65.0;MONITOR
328P6V;PHILIPS;55.0;MONITOR
498P9;PHILIPS;52.5;PROFESSIONAL_DISPLAY
276B1;PHILIPS;21.0;MONITOR
242E2FA;PHILIPS;14.5;MONITOR
200V4LAB2;PHILIPS;13.0;MONITOR
222B9T;PHILIPS;15.0;MONITOR
162B9T;PHILIPS;9.7;MONITOR
272E1SA;PHILIPS;25.3;MONITOR
246E9QDSB;PHILIPS;18.1;MONITOR
222S1AE;PHILIPS;15.4;MONITOR
345E2AE;PHILIPS;31.4;MONITOR
241B7QGJEB;PHILIPS;12.0;MONITOR
243S7EYMB;PHILIPS;18.0;MONITOR
242E1GAJ;PHILIPS;16.7;MONITOR
243S5LDAB;PHILIPS;17.1;MONITOR
223V7QDSB;PHILIPS;15.0;MONITOR
241B7QPJKEB;PHILIPS;18.0;MONITOR
172B9T;PHILIPS;10.0;MONITOR
221V8A;PHILIPS;14.0;MONITOR
243B1;PHILIPS;14.0;MONITOR
246V5LDSB;PHILIPS;18.0;MONITOR
222B9TN;PHILIPS;15.0;MONITOR
32BDL3550Q;PHILIPS;50.1;SIGNAGE
65BDL3050Q;PHILIPS;186.0;SIGNAGE
65BDL3052T;PHILIPS;186.0;SIGNAGE
86BDL4052E;PHILIPS;355.0;SIGNAGE
275S9JAL;PHILIPS;26.0;MONITOR
242S9JAL;PHILIPS;18.0;MONITOR
242S9AL;PHILIPS;18.0;MONITOR
34M2C7600MV;PHILIPS;70.0;OTHER
27M2C5500W;PHILIPS;26.0;MONITOR
32M1C5200W;PHILIPS;26.0;MONITOR
273S1;PHILIPS;21.0;MONITOR
45B1U6900C;PHILIPS;58.0;PROFESSIONAL_DISPLAY
45B1U6900CH;PHILIPS;58.0;PROFESSIONAL_DISPLAY
32BDL3651T;PHILIPS;45.0;SIGNAGE
43BDL3651T;PHILIPS;95.0;SIGNAGE
43BDL3452T;PHILIPS;95.0;SIGNAGE
242B1TC;PHILIPS;18.0;MONITOR
24M1N3200VA;PHILIPS;18.0;MONITOR
50BDL3117P;PHILIPS;113.0;SIGNAGE
42BDL5057P;PHILIPS;96.5;SIGNAGE
49BDL3007X;PHILIPS;94.0;SIGNAGE
49BDL5055P;PHILIPS;110.0;SIGNAGE
49BDL5157P;PHILIPS;108.0;SIGNAGE
55BDL4051T;PHILIPS;76.5;SIGNAGE
271E1C;PHILIPS;42.0;MONITOR
85C89KX3;TCL;128.0;TELEVISION
PA278CGRV;ASUS;16.7;MONITOR
EV06;Shenzhen dusun Technology Co.,Ltd.;4.0;MONITOR
EV18;Shenzhen dusun Technology Co.,Ltd.;6.5;MONITOR
34M2C3500L;PHILIPS;31.0;MONITOR
34E1C5600AM;PHILIPS;43.0;PROFESSIONAL_DISPLAY
32M2C5501;PHILIPS;32.0;MONITOR
27B1N3800;PHILIPS;21.0;MONITOR
27B2G5500;PHILIPS;10.7;MONITOR
24B2G5301;PHILIPS;11.8;MONITOR
34M2C6500AM;PHILIPS;31.0;MONITOR
25M2N5200U ;PHILIPS;18.0;MONITOR
75BDL4050Q;PHILIPS;80.0;SIGNAGE
55BDL4050Q;PHILIPS;63.0;SIGNAGE
65BDL6017P;PHILIPS;134.0;SIGNAGE
27E2N2500;PHILIPS;13.0;MONITOR
42M2N8900;PHILIPS;50.8;OTHER
86BDL3650Q;PHILIPS;320.0;SIGNAGE
40B1U6903CH;PHILIPS;83.0;PROFESSIONAL_DISPLAY
50BDL4650D;PHILIPS;80.0;OTHER
75BDL4650D;PHILIPS;198.0;OTHER
65BDL4650D;PHILIPS;161.0;OTHER
24M1N3200ZS;PHILIPS;18.0;MONITOR
50BDL3650QE;PHILIPS;49.0;OTHER
32E1N3100LA;PHILIPS;27.0;MONITOR
32M2C5500W;PHILIPS;32.0;MONITOR
241V8AW;PHILIPS;18.0;MONITOR
242S9JMLE ;PHILIPS;14.0;MONITOR
49B2U6900CH;PHILIPS;43.0;MONITOR
49M2C8900L;PHILIPS;65.0;PROFESSIONAL_DISPLAY
24E1N1100A;PHILIPS;14.0;MONITOR
75BDL4152E;PHILIPS;155.0;OTHER
27M2C5200W;PHILIPS;21.0;MONITOR
24M2N3200AM;PHILIPS;18.0;MONITOR
SDPF1525;Sandstrom;6.4;MONITOR
MIRACLE MC27F144Q;RAMPAGE;25.0;MONITOR
TS 8 Mate 65;Avtek;180.9;SIGNAGE
TS 8 Connect 75;Avtek;164.5;SIGNAGE
TS 8 Connect 92;Avtek;320.8;SIGNAGE
70UGC5500S;BLAUPUNKT;124.0;TELEVISION
55P81KXC;TCL;70.0;TELEVISION
MAG 256F E20;MSI;18.0;MONITOR
Z27W2H;CronusPro;24.8;MONITOR
32A2;SCHNEIDER;26.0;TELEVISION
TQ55S85FAU;Samsung;83.0;TELEVISION
S270ES;Guangdong Songren Technology Co., Ltd.;26.0;MONITOR
34B2U3600CH;PHILIPS;20.0;MONITOR
25M2N3200U;PHILIPS;14.0;MONITOR
24B2U3301D;PHILIPS;12.0;MONITOR
S270ES;Guangdong Songren Technology Co., Ltd.;26.0;MONITOR
LSAJ007-G4;LG Electronics;204.0;SIGNAGE
55UH5N-M;LG Electronics;103.0;SIGNAGE
55EW5Q-C;LG Electronics;73.5;SIGNAGE
55UL3Q-E;LG Electronics;97.6;SIGNAGE
65EP5Q-B;LG Electronics;108.0;SIGNAGE
43UH5Q-E;LG Electronics;82.6;SIGNAGE
65UH5Q-E;LG Electronics;130.0;SIGNAGE
43UL5Q-E;LG Electronics;102.0;SIGNAGE
43UL5Q-M;LG Electronics;102.0;SIGNAGE
AG27QS;AGEX;24.9;MONITOR
AG34P;AGEX;31.0;MONITOR
50S5KX7;TCL;50.0;TELEVISION
50V6CX7;TCL;50.0;TELEVISION
50C6KX7;TCL;54.0;TELEVISION
50E6STUK;Hisense;54.0;TELEVISION
50E61STUK;Hisense;54.0;TELEVISION
55U76S PRO;Hisense;64.0;TELEVISION
43E7DS;Hisense;42.0;TELEVISION
40E5STUK;Hisense;36.0;TELEVISION
40A4S;Hisense;39.0;TELEVISION
DHI-LM34-U300CA;Dahua;30.9;MONITOR
DHI-LM24-B201AE;Dahua;13.0;SIGNAGE
IR40VAB1;IRRADIO;39.0;TELEVISION
65UM5N-E;LG Electronics;130.0;SIGNAGE
55UM5N-E;LG Electronics;122.0;SIGNAGE
49UM5N-E;LG Electronics;114.0;SIGNAGE
49UM5N-H;LG Electronics;114.0;SIGNAGE
43UL3J-N;LG Electronics;67.7;SIGNAGE
43TNF5P-B;LG Electronics;80.8;SIGNAGE
QE55S84FAU;Samsung;83.0;TELEVISION
KM0232-V3;Kruger&Matz;26.0;TELEVISION
NVR-8430-32WBT;Nevir;26.0;TELEVISION
100E79S PRO;Hisense;158.0;TELEVISION
100Q71S PRO;Hisense;158.0;TELEVISION
100Q71STUK PRO;Hisense;158.0;TELEVISION
100E7STUK PRO;Hisense;158.0;TELEVISION
100E79STUK PRO;Hisense;158.0;TELEVISION
43Q72S PRO;Hisense;50.0;TELEVISION
43E71S PRO;Hisense;50.0;TELEVISION
43Q71STUK PRO;Hisense;50.0;TELEVISION
43E7STUK PRO;Hisense;50.0;TELEVISION
75E77S PRO;Hisense;107.0;TELEVISION
75E78S PRO;Hisense;107.0;TELEVISION
75E71S PRO;Hisense;107.0;TELEVISION
75E79STUK PRO;Hisense;107.0;TELEVISION
85U81S;Hisense;86.0;TELEVISION
85U89S;Hisense;86.0;TELEVISION
85U81STUK;Hisense;86.0;TELEVISION
100U8S;Hisense;127.0;TELEVISION
100U8DS;Hisense;127.0;TELEVISION
100U88S;Hisense;127.0;TELEVISION
CE49ALPHA ;Cepter;43.0;MONITOR
C23ALPHAX;Cepter;18.0;MONITOR
C34PULSEXHAS;Cepter;31.0;MONITOR
C32ATILIUS2;Cepter;32.9;MONITOR
C24PULSE2;Cepter;18.0;MONITOR
C32PULSE;Cepter;32.9;MONITOR
C32ESPORTP2;Cepter;56.8;PROFESSIONAL_DISPLAY
C27PRO;Cepter;26.0;MONITOR
CNANO156;Cepter;3.8;MONITOR
C27ATILIUSX;Cepter;26.0;MONITOR
CR50EU7002A;Cepter;66.0;TELEVISION
CR55EU7002A;Cepter;79.0;TELEVISION
CR75EU7002A;Cepter;134.0;TELEVISION
27GP95RP;LG Electronics;25.8;MONITOR
45GR65DC;LG Electronics;36.8;MONITOR
24BR750E;LG Electronics;16.7;MONITOR
27GS60F;LG Electronics;21.5;MONITOR
27GS75Q;LG Electronics;25.6;MONITOR
27GS75QN;LG Electronics;25.6;MONITOR
32BR55UK;LG Electronics;31.5;MONITOR
27BQ65UK;LG Electronics;25.7;MONITOR
27UP83AK;LG Electronics;25.7;MONITOR
39GX900A;LG Electronics;37.8;MONITOR
32U720A;LG Electronics;25.6;MONITOR
29U511A;LG Electronics;19.7;MONITOR
27G440A;LG Electronics;21.0;MONITOR
27GX790B;LG Electronics;24.7;MONITOR
P16ST;ZEUSLAP;8.9;MONITOR
VG240Y W3bmiipx;acer;14.0;MONITOR
100U89S;Hisense;127.0;TELEVISION
RA55A2T;RADIOLA;76.0;TELEVISION
RA65A2T;RADIOLA;101.0;TELEVISION
DHI-LM22-C200;Dahua;15.0;MONITOR
19HFL5025/12;PHILIPS;13.0;TELEVISION
UT222Q E;acer;15.0;MONITOR
V227Q G3;acer;7.8;MONITOR
65UA9000;TELEFUNKEN;109.0;TELEVISION
55UK3163DA;TOSHIBA;82.0;TELEVISION
D32H550X1CWT;TELEFUNKEN;32.0;TELEVISION
43UA9005;TELEFUNKEN;51.0;TELEVISION
43UA9006;TELEFUNKEN;51.0;TELEVISION
50DH55UQ2;DAEWOO;54.0;TELEVISION
43DH55UQ2;DAEWOO;51.0;TELEVISION
55DM55UQP2;DAEWOO;64.0;TELEVISION
50DM55UQP2;DAEWOO;54.0;TELEVISION
65DM73UA;DAEWOO;85.0;TELEVISION
43DM73UA;DAEWOO;51.0;TELEVISION
32P73PHA;DAEWOO;26.0;TELEVISION
TE24550S27YXD/E;TELEFUNKEN;16.0;TELEVISION
LT-40VF3001;JVC;37.0;TELEVISION
LT-50VU3101;JVC;65.0;TELEVISION
LT-55VGQ8200;JVC;64.0;TELEVISION
LT-50VAQ6255;JVC;54.0;TELEVISION
32LA3B63DA/2;TOSHIBA;26.0;TELEVISION
32WA2063DG/2;TOSHIBA;26.0;TELEVISION
24WA2063DA/2;TOSHIBA;16.0;TELEVISION
24W2163DG/2;TOSHIBA;16.0;TELEVISION
50UL4C63DG/2;TOSHIBA;65.0;TELEVISION
32LK3C63DAA/2;TOSHIBA;26.0;TELEVISION
32WK3C63DAA/2;TOSHIBA;26.0;TELEVISION
50UK3163DG/2;TOSHIBA;65.0;TELEVISION
55UK3163DG/2;TOSHIBA;77.0;TELEVISION
24WK3C64DAY/2;TOSHIBA;16.0;TELEVISION
32LK3C64DAY/2;TOSHIBA;26.0;TELEVISION
65XA9D63DG/2;TOSHIBA;102.0;TELEVISION
43UL4D63DB/2;TOSHIBA;51.0;TELEVISION
LT-32VH3101S;JVC;26.0;TELEVISION
XF32SN550SD-W;TELEFUNKEN;26.0;TELEVISION
XF32SN550SD;TELEFUNKEN;26.0;TELEVISION
XF32SN550S-W;TELEFUNKEN;26.0;TELEVISION
XH32N550S;TELEFUNKEN;26.0;TELEVISION
H24TS550M;TECHWOOD;16.0;TELEVISION
H32TS550S;TECHWOOD;26.0;TELEVISION
LT-32VH5156W;JVC;26.0;TELEVISION
LT-32VF5158;JVC;26.0;TELEVISION
LT-32VH5157;JVC;26.0;TELEVISION
LT-32VAH320S;JVC;26.0;TELEVISION
32HA6001;TELEFUNKEN;26.0;TELEVISION
XU43AN751S;TELEFUNKEN;51.0;TELEVISION
32-FHA-6230;FINLUX ;26.0;TELEVISION
LT-43V6000;JVC;51.0;TELEVISION
LT-70VA6200;JVC;114.0;TELEVISION
65UA9005M2;TELEFUNKEN;85.0;TELEVISION
32-FFB-4561;FINLUX ;26.0;TELEVISION
32-FFA-6230;FINLUX ;26.0;TELEVISION
65-FAG-9460;FINLUX ;85.0;TELEVISION
50FUH7161;FINLUX ;54.0;TELEVISION
D50U860B2CW;TELEFUNKEN;54.0;TELEVISION
55QUA9130;TELEFUNKEN;64.0;TELEVISION
65QUA9140;TELEFUNKEN;85.0;TELEVISION
55UL2363DG;TOSHIBA;77.0;TELEVISION
D50U660O2CWII;TELEFUNKEN;54.0;TELEVISION
D55U660O2CWII;TELEFUNKEN;64.0;TELEVISION
D43F554E2CW;TELEFUNKEN;42.0;TELEVISION
40DM54FAI;DAEWOO;37.0;TELEVISION
40-FFB-4561;FINLUX ;37.0;TELEVISION
32WK3C63DAW;TOSHIBA;26.0;TELEVISION
LT-50VA3355;JVC;54.0;TELEVISION
LT-65VAQ330P;JVC;85.0;TELEVISION
43UE7251NE;TELEFUNKEN;51.0;TELEVISION
XU50AN751S;TELEFUNKEN;54.0;TELEVISION
43DM72QA;DAEWOO;51.0;TELEVISION
40LV2E63DA;TOSHIBA;37.0;TELEVISION
43QUA9040MK;TELEFUNKEN;51.0;TELEVISION
L24H550X2CWI;TELEFUNKEN;16.0;TELEVISION
LT-43VAQ830P;JVC;51.0;TELEVISION
32HEA5050E;TELEFUNKEN;26.0;TELEVISION
32WV3E63DG;TOSHIBA;26.0;TELEVISION
LT-58VU6255;JVC;70.0;TELEVISION
XU58AN660S;TELEFUNKEN;70.0;TELEVISION
43UA9005X;TELEFUNKEN;51.0;TELEVISION
50UE7251BX;TELEFUNKEN;65.0;TELEVISION
65UA9005BX;TELEFUNKEN;85.0;TELEVISION
40LA3E63DG;TOSHIBA;37.0;TELEVISION
32HEA5050WE;TELEFUNKEN;26.0;TELEVISION
55FUG7021;FINLUX ;64.0;TELEVISION
43LA2E63DG;TOSHIBA;42.0;TELEVISION
D43Q701X2CW;TELEFUNKEN;51.0;TELEVISION
LT-32VAHP30W;JVC;26.0;TELEVISION
75HHSESMI;FINLUX ;128.0;TELEVISION
43UV2363DG;TOSHIBA;51.0;TELEVISION
55UV2363DG;TOSHIBA;64.0;TELEVISION
55QV2363DB;TOSHIBA;64.0;TELEVISION
43QV2363DA;TOSHIBA;51.0;TELEVISION
QU70AN900S;TELEFUNKEN;114.0;TELEVISION
PF43D-2H;VESTEL ;127.0;SIGNAGE
L24H550M4DI;TELEFUNKEN;16.0;TELEVISION
L24H550M4I;TELEFUNKEN;16.0;TELEVISION
H55UH67;TELEFUNKEN;77.0;TELEVISION
LT-43VA3300S;JVC;51.0;TELEVISION
50UA9005BX;TELEFUNKEN;54.0;TELEVISION
24M6.1ECI-12;FINLUX ;16.0;TELEVISION
55G10.1ECMI;FINLUX ;64.0;TELEVISION
D65DM54UAMS;DAEWOO;85.0;TELEVISION
50QUA9040M;TELEFUNKEN;54.0;TELEVISION
55QUA9340M;TELEFUNKEN;64.0;TELEVISION
65DM72UAQP;DAEWOO;85.0;TELEVISION
50DM72UAQP;DAEWOO;54.0;TELEVISION
43DM63FA;DAEWOO;42.0;TELEVISION
24TENSHDZ;TELEFUNKEN;16.0;TELEVISION
40LV2E63DAZ;TOSHIBA;37.0;TELEVISION
43UV2363DAW;TOSHIBA;51.0;TELEVISION
70-QUH-2312;FINLUX ;114.0;TELEVISION
LUX0170001/01;LUXOR_VUK;94.0;TELEVISION
32DE54HL2W;DAEWOO;26.0;TELEVISION
LT-43VD3300;JVC;51.0;TELEVISION
LT-55VD3300;JVC;64.0;TELEVISION
43UF3F53DB;TOSHIBA;42.0;TELEVISION
55QUA9340M;TELEFUNKEN;64.0;TELEVISION
65DM72UAQP;DAEWOO;85.0;TELEVISION
50DM72UAQP;DAEWOO;54.0;TELEVISION
43DM63FA;DAEWOO;42.0;TELEVISION
24TENSHDZ;TELEFUNKEN;16.0;TELEVISION
40LV2E63DAZ;TOSHIBA;37.0;TELEVISION
43UV2363DAW;TOSHIBA;51.0;TELEVISION
70-QUH-2312;FINLUX ;114.0;TELEVISION
LUX0170001/01;LUXOR_VUK;94.0;TELEVISION
32DE54HL2W;DAEWOO;26.0;TELEVISION
LT-43VD3300;JVC;51.0;TELEVISION
LT-55VD3300;JVC;64.0;TELEVISION
43UF3F53DB;TOSHIBA;42.0;TELEVISION
65QA2363DG;TOSHIBA;85.0;TELEVISION
PN65D-4H;VESTEL ;194.0;SIGNAGE
PF43B-2B;VESTEL ;127.0;SIGNAGE
PN50B-4H;VESTEL ;121.0;SIGNAGE
XD86D-4H;VESTEL ;380.0;SIGNAGE
43UV3463DAW;TOSHIBA;51.0;TELEVISION
50UV3463DAW;TOSHIBA;54.0;TELEVISION
UHM65UH82/4;VESTEL ;194.0;SIGNAGE
32WV2463DG;TOSHIBA;26.0;TELEVISION
40LV3463DG;TOSHIBA;37.0;TELEVISION
32WV2463DB;TOSHIBA;26.0;TELEVISION
55TLFQA9650;TELEFUNKEN;64.0;TELEVISION
43LF3F63DAZ;TOSHIBA;42.0;TELEVISION
LT-55VU3400;JVC;77.0;TELEVISION
43QV2463DG;TOSHIBA;51.0;TELEVISION
TE32750S38YXD;TELEFUNKEN;26.0;TELEVISION
32LF3F63DAZ;TOSHIBA;26.0;TELEVISION
D43DM55UQPMS;DAEWOO;51.0;TELEVISION
LT-32VAH3355;JVC;26.0;TELEVISION
LT-43VGQ8255;JVC;51.0;TELEVISION
LT-55VGQ8255;JVC;64.0;TELEVISION
LT-65VUQ3455;JVC;85.0;TELEVISION
XF32AN750M;TELEFUNKEN;26.0;TELEVISION
43QA2363DG;TOSHIBA;51.0;TELEVISION
70DTUA724;TELEFUNKEN;114.0;TELEVISION
32DTAH724;TELEFUNKEN;26.0;TELEVISION
XN75D-4HH;VESTEL ;235.0;SIGNAGE
24DM54HA2K;DAEWOO;16.0;TELEVISION
LT-32VH5355;JVC;26.0;TELEVISION
LT-50VU3455;JVC;65.0;TELEVISION
QU55TO750S;TELEFUNKEN;64.0;TELEVISION
